sentence	label	gender
北京爱数智慧语音采集	0	male
北京爱数智慧语音采集	0	female
阿拉两个拧来聊聊金融方面呃	0	male
金融方面嘛	0	male
搿呃，阿姨喃，应该讲，侬已经交关年数辣辣了解了	0	male
葛末，吾辣辣金融方面已经有的三四年了	0	male
最少辰光阿拉是做撒呃喃，有钞票就是到银行里保本保息	0	male
吾已经做了已经到八七年了	0	female
八七年呃，当时辰光辣里哴相做理财呃	0	female
是两级风险，三级风险，四级风险吾侪做呃，信托咯撒侪做呃	0	female
信托有两年头呃八点几	0	female
吾也做呃，尝试呃	0	male
但是呢，侬讲呃种信托啊	0	male
呃	0	male
过去做呃信托呢，是保本保息呃	0	female
国家辣辣银行里兜呃	0	male
现在呃信托啦，假呃啦	0	male
讲呃撒呃信托，撒呃保本保息，现在危险了，撒道理呢，信托亏比侬现在金融喃	0	male
侪拨国家拦特了，撒叫拦特了	0	male
本来动，比方侬是信托，本来是银行是保，担保呃	0	male
现在银行伐担保了	0	male
国，国家有个先，有个文件就讲	0	male
银行里如果破产超过五十万以上呃	0	male
国家伐付钞票呃	0	male
超过五十万以内呃，国家负担搿钞票，搿是正式文件谈下来呃	0	male
葛末，阿拉辣辣搿问题高头呢，阿拉辣搿问题高头呢，就是讲哪能来认识呢	0	male
现在对伐，老早金融行业呢，本身就是伐保本呃，也伐保本呃所谓五十万赔偿呃损失，是侬做是撒	0	female
叫撒是	0	female
呃，呃银行理财，银行呃产品	0	female
是，就是坏特了，伊拨侬五十万	0	female
呃叫撒赔拨侬呃，但是做金融呃行业，本身也就伐赔侬呃	0	female
现在呢就是有得一只，老早是伐赔喏，老早讲起来呢，坏呢，就是讲风险呢，但是呢	0	female
还可以呃，为撒道理，基本上没呢没撒坏呃	0	female
但是现在呢，是刚性兑付了，新呃文件出来是刚性兑付，所以讲万一搿只物事没做好呃闲话	0	female
还有，关于讲吾，讲到搿呃就是讲信托	0	male
银行呃理财	0	male
呃，吾觉着呢，侬讲了蛮有道理呃	0	male
银行理财产产品呢是辣辣五十万里相头	0	male
对伐，伊可以保保周梦伐	0	male
超过五十万伊伐保呃	0	male
但是，吾今朝再晓得，侬搿能噶讲呢吾理解，吾本来想呢	0	male
放侬银行里钞票	0	male
五十万以下伊拨侬保呃，五十万以上伊伐保呃，哦，原来是银行里呃理财产品	0	male
可以保呃	0	male
超过五十万，伊伐保呃，是伐是啊	0	male
王老师，侬侬搞错特了，银行里相五十万是等于存款	0	female
侬拨辣存款，就是讲一年头呃，或者是半年头，存款，万一搿只银行坏特了，伊是赔拨侬呃	0	female
但是银行呃所有理财产品侪伐保呃	0	female
哦，是搿能噶，哦[+]	0	male
哦，搿是，侬搿能样子跟吾讲了蛮清爽呃	0	male
乃末，还有一个呢，最近呢就是讲吾有两个朋友呢叫吾搿是，参加搿呃就是讲	0	male
呃，就是理财	0	male
搿呃公司啊去参加搿理财活动	0	male
有点理财公司呢	0	male
讲讲是阿拉侪是规范呃撒呃证照侪齐呃	0	male
到后头来，伊讲，阿拉搿搭要求投资拧要投一百万	0	male
投二百万，投五百万	0	male
后手吾问伊拉，侬到底侬是只撒公司	0	male
做撒物事	0	female
甚至谈到后头来侬投三万，投十万，廿万，三万也可以投呃	0	male
吾觉着伊搿只公司	0	male
可能怀疑性，是伐是正规呃侬讲讲呢，吾听听侬呃	0	male
王老师，吾是搿能噶想呃，因为是辣辣一两年辰光刚刚普及了金融理财理财搿只物事	0	female
阿拉呢去听听课，本身呢带辣一只撒心情呢，去看看叫，了解一下	0	female
结果了解了以后嘛，天天上课啊，讲特一歇通货膨胀搿点物事呢，听法听法呢，觉着倒还还可以嘛	0	female
阿拉应该呢，就是讲也参加一些，葛末吾认为呢，邓小平讲了一句闲话到蛮对呃	0	female
胆子呢要大一点步子呢要快一点	0	female
葛末，由于伊搿只想法呢，倒蛮符合吾要求呃，诶，吾觉着是应该，既然侬要想钱生钱	0	female
别过胆子要大一点，葛末吾就开始呢投进去了，但是因为当时辰光侪伐晓得是要坏特呃	0	female
葛末辣辣搿种情况下头，有的担保啊，有的营业执照啊，有的撒物事啊，阿拉侪比较相信呃，进去了	0	female
现在呢，坏呃蛮多呃特别辣辣一一五年呃上半年	0	female
一六年呃下，哦一五年呃	0	female
上，下半年，一六年呃上半年跑路呃老多呃	0	female
所以呢，现在跑出来搿种公司咯撒	0	female
吾觉着是老伐靠谱呃因为阿拉侪有的阴影了，侪坏特过了	0	female
所以呢，现在再去搿种呢	0	female
再去哪能噶就伐大会的轻易呃去相信人家了	0	female
王老师侬讲对伐	0	female
侬讲了蛮有道理呃	0	male
因为过去呃，去年伐前年	0	male
嗯辣社会高头讲P to P	0	male
埃能噶再出去投呢，就要警觉了，因为有的坏过了	0	female
人家讲，一次拨蛇咬，十年要怕惊蛇了，就讲现在呢要小心点了	0	female
老是侵犯人家讲好撒物事，有执照辣，有撒物事，因为伊伐讲好，那哪能会的进去呢	0	female
伊如果实事求是讲，阿拉里相已经亏损了，那来帮帮忙，撒拧还会的去帮忙	0	female
只因为伊侪讲了好，侬相信了再去投	0	female
吾觉着现在出来呃公司呢，侪老伐靠谱呃，为撒道理，现在伐是，像老早搿能噶一万二万或者五万门楷	0	female
十万就可以进去了，现在狮子大开口，要一百万，六百万	0	female
